station,title,pfm,ft,日付,時間,to,日付,時間,dur,image,filename抽出,filename,,pfm　len
J-Wave,ZAPPA,武藤千春,20200120050000,120,500,20200120060000,120,600,3600,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/k2nhe1gxfc.jpg,k2nhe1gxfc.jpg,k2nhe1gxfc.jpg,,4
J-Wave,J-WAVE TOKYO MORNING RADIO,別所哲也,20200120060000,120,600,20200120090000,120,900,10800,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/9omb8liita.png,9omb8liita.png,9omb8liita.png,,4
J-Wave,STEP ONE(PART1),サッシャ / 増井なぎさ,20200120090000,120,900,20200120120000,120,1200,10800,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/jwjemqisrr.jpg,jwjemqisrr.jpg,jwjemqisrr.jpg,,12
J-Wave,STEP ONE(PART2),サッシャ / 増井なぎさ,20200120120000,120,1200,20200120130000,120,1300,3600,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/jwjemqisrr.jpg,jwjemqisrr.jpg,jwjemqisrr.jpg,,12
J-Wave,GOOD NEIGHBORS(PART1),クリス智子,20200120130000,120,1300,20200120150000,120,1500,7200,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/6fgvxqv469.jpg,6fgvxqv469.jpg,6fgvxqv469.jpg,,5
J-Wave,GOOD NEIGHBORS(PART2),クリス智子,20200120150000,120,1500,20200120163000,120,1630,5400,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/6fgvxqv469.jpg,6fgvxqv469.jpg,6fgvxqv469.jpg,,5
J-Wave,GROOVE LINE,ピストン西沢,20200120163000,120,1630,20200120190000,120,1900,9000,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/nzflf7iw1x.jpg,nzflf7iw1x.jpg,nzflf7iw1x.jpg,,6
J-Wave,JAM THE WORLD,グローバー / 津田大介,20200120190000,120,1900,20200120210000,120,2100,7200,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/ijngg47jhf.png,ijngg47jhf.png,ijngg47jhf.png,,12
J-Wave,SONAR MUSIC(PART1),あっこゴリラ　,20200120210000,120,2100,20200120223000,120,2230,5400,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/azkzlmlbed.jpg,azkzlmlbed.jpg,azkzlmlbed.jpg,,7
J-Wave,SONAR MUSIC(PART2),あっこゴリラ　,20200120223000,120,2230,20200121000000,121,0,5400,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/azkzlmlbed.jpg,azkzlmlbed.jpg,azkzlmlbed.jpg,,7
J-Wave,SPARK,水野良樹(いきものがかり),20200121000000,121,0,20200121010000,121,100,3600,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/sqarheo3bh.jpg,sqarheo3bh.jpg,sqarheo3bh.jpg,,13
J-Wave,THE KINGS PLACE,FOMARE,20200121010000,121,100,20200121020000,121,200,3600,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/5l4ajrh3yh.jpg,5l4ajrh3yh.jpg,5l4ajrh3yh.jpg,,6
J-Wave,MIDNIGHT CHIME,たなかみさき,20200121020000,121,200,20200121023000,121,230,1800,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/p0f46m0kgz.jpg,p0f46m0kgz.jpg,p0f46m0kgz.jpg,,6
J-Wave,ATHLETE HIGH,武井壮,20200121023000,121,230,20200121030000,121,300,1800,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/q6lkx0xx8c.jpg,q6lkx0xx8c.jpg,q6lkx0xx8c.jpg,,3
J-Wave,TOKYO M.A.A.D SPIN,　,20200121030000,121,300,20200121050000,121,500,7200,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/kdbppw7u3k.png,kdbppw7u3k.png,kdbppw7u3k.png,,1
J-Wave,ZAPPA,上野智子,20200121050000,121,500,20200121060000,121,600,3600,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/k2nhe1gxfc.jpg,k2nhe1gxfc.jpg,k2nhe1gxfc.jpg,,4
J-Wave,J-WAVE TOKYO MORNING RADIO,別所哲也,20200121060000,121,600,20200121090000,121,900,10800,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/rjje9jd3fd.jpg,rjje9jd3fd.jpg,rjje9jd3fd.jpg,,4
J-Wave,STEP ONE(PART1),サッシャ / 増井なぎさ,20200121090000,121,900,20200121100000,121,1000,3600,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/jwjemqisrr.jpg,jwjemqisrr.jpg,jwjemqisrr.jpg,,12
J-Wave,STEP ONE(PART2),サッシャ / 増井なぎさ,20200121100000,121,1000,20200121130000,121,1300,10800,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/jwjemqisrr.jpg,jwjemqisrr.jpg,jwjemqisrr.jpg,,12
J-Wave,GOOD NEIGHBORS(PART1),クリス智子,20200121130000,121,1300,20200121150000,121,1500,7200,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/6fgvxqv469.jpg,6fgvxqv469.jpg,6fgvxqv469.jpg,,5
J-Wave,GOOD NEIGHBORS(PART2),クリス智子,20200121150000,121,1500,20200121163000,121,1630,5400,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/6fgvxqv469.jpg,6fgvxqv469.jpg,6fgvxqv469.jpg,,5
J-Wave,GROOVE LINE,ピストン西沢,20200121163000,121,1630,20200121190000,121,1900,9000,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/nzflf7iw1x.jpg,nzflf7iw1x.jpg,nzflf7iw1x.jpg,,6
J-Wave,JAM THE WORLD,グローバー / 青木理,20200121190000,121,1900,20200121210000,121,2100,7200,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/ijngg47jhf.png,ijngg47jhf.png,ijngg47jhf.png,,11
J-Wave,SONAR MUSIC(PART1),あっこゴリラ,20200121210000,121,2100,20200121223000,121,2230,5400,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/azkzlmlbed.jpg,azkzlmlbed.jpg,azkzlmlbed.jpg,,6
J-Wave,SONAR MUSIC(PART2),あっこゴリラ,20200121223000,121,2230,20200122000000,122,0,5400,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/azkzlmlbed.jpg,azkzlmlbed.jpg,azkzlmlbed.jpg,,6
J-Wave,SPARK,雫（ポルカドットスティングレイ）,20200122000000,122,0,20200122010000,122,100,3600,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/sqarheo3bh.jpg,sqarheo3bh.jpg,sqarheo3bh.jpg,,16
J-Wave,THE KINGS PLACE,マカロニえんぴつ,20200122010000,122,100,20200122020000,122,200,3600,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/5l4ajrh3yh.jpg,5l4ajrh3yh.jpg,5l4ajrh3yh.jpg,,8
J-Wave,PRESIDENT THEATER,社長（SOIL&“PIMP” SESSIONS）,20200122020000,122,200,20200122023000,122,230,1800,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/wkcve6bbzs.jpg,wkcve6bbzs.jpg,wkcve6bbzs.jpg,,24
J-Wave,BKBK,大倉眞一郎 / 原カントくん,20200122023000,122,230,20200122030000,122,300,1800,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/zsfio3hqzu.jpg,zsfio3hqzu.jpg,zsfio3hqzu.jpg,,14
J-Wave,TOKYO M.A.A.D SPIN,　,20200122030000,122,300,20200122050000,122,500,7200,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/kdbppw7u3k.png,kdbppw7u3k.png,kdbppw7u3k.png,,1
J-Wave,ZAPPA,nico,20200122050000,122,500,20200122060000,122,600,3600,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/k2nhe1gxfc.jpg,k2nhe1gxfc.jpg,k2nhe1gxfc.jpg,,4
J-Wave,J-WAVE TOKYO MORNING RADIO,別所哲也,20200122060000,122,600,20200122090000,122,900,10800,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/rjje9jd3fd.jpg,rjje9jd3fd.jpg,rjje9jd3fd.jpg,,4
J-Wave,STEP ONE(PART1),サッシャ / 増井なぎさ,20200122090000,122,900,20200122100000,122,1000,3600,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/jwjemqisrr.jpg,jwjemqisrr.jpg,jwjemqisrr.jpg,,12
J-Wave,STEP ONE(PART2),サッシャ / 増井なぎさ,20200122100000,122,1000,20200122130000,122,1300,10800,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/jwjemqisrr.jpg,jwjemqisrr.jpg,jwjemqisrr.jpg,,12
J-Wave,GOOD NEIGHBORS(PART1),クリス智子,20200122130000,122,1300,20200122150000,122,1500,7200,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/6fgvxqv469.jpg,6fgvxqv469.jpg,6fgvxqv469.jpg,,5
J-Wave,GOOD NEIGHBORS(PART2),クリス智子,20200122150000,122,1500,20200122163000,122,1630,5400,https://radiko.jp/res/program/DEFAULT_IMAGE/FMJ/6fgvxqv469.jpg,6fgvxqv469.jpg,6fgvxqv469.jpg,,5
