station,title,pfm,ft,日付,時間,to,日付,時間,dur,image,filename抽出,filename,,pfm　len
ニッポン放送,上柳昌彦 あさぼらけ,上柳昌彦,20200120050000 ,0120,0500,20200120060000 ,0120,0600,3600,https://radiko.jp/res/program/DEFAULT_IMAGE/LFR/n3iel9n3md.png,n3iel9n3md.png,n3iel9n3md.png,,4
ニッポン放送,飯田浩司のOK! Cozy up! Part1,飯田浩司、新行市佳、須田慎一郎,20200120060000 ,0120,0600,20200120064300 ,0120,0643,2580,https://radiko.jp/res/program/DEFAULT_IMAGE/LFR/r2nv8hvsu7.png,r2nv8hvsu7.png,r2nv8hvsu7.png,,15
ニッポン放送,あさナビ,黒木瞳、那須正幹,20200120064300 ,0120,0643,20200120065000 ,0120,0650,420,https://radiko.jp/res/program/DEFAULT_IMAGE/LFR/3xdhrd3jxs.png,3xdhrd3jxs.png,3xdhrd3jxs.png,,8
ニッポン放送,飯田浩司のOK! Cozy up! Part2,飯田浩司、新行市佳、須田慎一郎,20200120065000 ,0120,0650,20200120073700 ,0120,0737,2820,https://radiko.jp/res/program/DEFAULT_IMAGE/LFR/r2nv8hvsu7.png,r2nv8hvsu7.png,r2nv8hvsu7.png,,15
ニッポン放送,鈴木杏樹のいってらっしゃい,鈴木杏樹,20200120073700 ,0120,0737,20200120074100 ,0120,0741,240,https://radiko.jp/res/program/DEFAULT_IMAGE/LFR/mld80k639q.png,mld80k639q.png,mld80k639q.png,,4
ニッポン放送,飯田浩司のOK! Cozy up! Part3,飯田浩司、新行市佳、須田慎一郎,20200120074100 ,0120,0741,20200120080000 ,0120,0800,1140,https://radiko.jp/res/program/DEFAULT_IMAGE/LFR/r2nv8hvsu7.png,r2nv8hvsu7.png,r2nv8hvsu7.png,,15
ニッポン放送,垣花正あなたとハッピー！Part1,綾戸智恵、テリー伊藤、ターザン山本（電話）、垣花正、那須恵理子,20200120080000 ,0120,0800,20200120082500 ,0120,0825,1500,https://radiko.jp/res/program/DEFAULT_IMAGE/LFR/b4mmdw0bff.png,b4mmdw0bff.png,b4mmdw0bff.png,,31
ニッポン放送,川井郁子 ハートストリングス,川井郁子,20200120082500 ,0120,0825,20200120082800 ,0120,0828,180,https://radiko.jp/res/program/DEFAULT_IMAGE/LFR/vtbthn6wqp.png,vtbthn6wqp.png,vtbthn6wqp.png,,4
ニッポン放送,垣花正あなたとハッピー！Part2,テリー伊藤、綾戸智恵、ターザン山本（電話）、垣花正、那須恵理子,20200120082800 ,0120,0828,20200120101200 ,0120,1012,6240,https://radiko.jp/res/program/DEFAULT_IMAGE/LFR/b4mmdw0bff.png,b4mmdw0bff.png,b4mmdw0bff.png,,31
ニッポン放送,榊原郁恵のハッピー・ダイアリー,榊原郁恵,20200120101200 ,0120,1012,20200120101700 ,0120,1017,300,https://radiko.jp/res/program/DEFAULT_IMAGE/LFR/7wzctw5jdg.png,7wzctw5jdg.png,7wzctw5jdg.png,,4
