station,title,pfm,ft,日付,開始時間,to,終了時間,dur,image,filename抽出,filename
TBSラジオ,生島ヒロシのおはよう定食・一直線,生島ヒロシ,20200203050000,203,500,20200203063000,630,5400,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/xt8ym4cpmw.jpg,xt8ym4cpmw.jpg,xt8ym4cpmw.jpg
TBSラジオ,森本毅郎・スタンバイ！,森本毅郎/遠藤泰子,20200203063000,203,630,20200203083000,830,7200,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/tcaigigbeu.jpg,tcaigigbeu.jpg,tcaigigbeu.jpg
TBSラジオ,伊集院光とらじおと（１）,伊集院光/新井麻希　　ゲスト：中井貴一,20200203083000,203,830,20200203100000,1000,5400,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/1xedqh8o2n.jpg,1xedqh8o2n.jpg,1xedqh8o2n.jpg
TBSラジオ,伊集院光とらじおと（２）,伊集院光/新井麻希　　ゲスト：中井貴一,20200203100000,203,1000,20200203110000,1100,3600,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/1xedqh8o2n.jpg,1xedqh8o2n.jpg,1xedqh8o2n.jpg
TBSラジオ,ジェーン・スー 生活は踊る,ジェーン・スー/小笠原亘（TBSアナウンサー）　　ゲスト：浜内千波（料理研究家）：「簡単お味噌汁特集」,20200203110000,203,1100,20200203130000,1300,7200,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/ggvk4r2edf.jpg,ggvk4r2edf.jpg,ggvk4r2edf.jpg
TBSラジオ,赤江珠緒たまむすび,赤江珠緒/カンニング竹山,20200203130000,203,1300,20200203153000,1530,9000,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/cpfb5hmdeb.jpg,cpfb5hmdeb.jpg,cpfb5hmdeb.jpg
TBSラジオ,ACTION,宮藤官九郎 幸坂理加/平井理央(From RIO to TOKYO),20200203153000,203,1530,20200203173000,1730,7200,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/bbttpw8pzp.jpg,bbttpw8pzp.jpg,bbttpw8pzp.jpg
TBSラジオ,ネットワークトゥデイ,,20200203173000,203,1730,20200203174400,1744,840,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/3cd30990-b9f5-4080-84fa-cc215e99aa94.jpeg,3cd30990-b9f5-4080-84fa-cc215e99aa94.jpeg,3cd30990-b9f5-4080-84fa-cc215e99aa94.jpeg
TBSラジオ,エンタメExpress,赤荻歩(TBSアナウンサー),20200203174400,203,1744,20200203175000,1750,360,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/omc0ejifvq.jpg,omc0ejifvq.jpg,omc0ejifvq.jpg
TBSラジオ,ミヤリサン製薬プレゼンツ　腸から始まる健康ライフ,中澤有美子,20200203175000,203,1750,20200203180000,1800,600,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/5xxjh8kuv5.jpg,5xxjh8kuv5.jpg,5xxjh8kuv5.jpg
TBSラジオ,アフター６ジャンクション(1)【カルチャートーク】など,ライムスター宇多丸/熊崎風斗（TBSアナウンサー）,20200203180000,203,1800,20200203190000,1900,3600,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/bv7k76hlgd.jpg,bv7k76hlgd.jpg,bv7k76hlgd.jpg
TBSラジオ,アフター６ジャンクション(2)【スタジオライブ】など,ライムスター宇多丸/熊崎風斗（TBSアナウンサー）,20200203190000,203,1900,20200203200000,2000,3600,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/bv7k76hlgd.jpg,bv7k76hlgd.jpg,bv7k76hlgd.jpg
TBSラジオ,アフター６ジャンクション(3)【特集コーナー】など,ライムスター宇多丸/熊崎風斗（TBSアナウンサー）,20200203200000,203,2000,20200203210000,2100,3600,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/bv7k76hlgd.jpg,bv7k76hlgd.jpg,bv7k76hlgd.jpg
TBSラジオ,TOMAS presents High School a Go Go!!,石井大裕（TBSアナウンサー）,20200203210000,203,2100,20200203213000,2130,1800,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/96v18ryvgu.jpg,96v18ryvgu.jpg,96v18ryvgu.jpg
TBSラジオ,かまいたちのヘイ！タクシー！,かまいたち,20200203213000,203,2130,20200203220000,2200,1800,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/kuqr29nmir.jpg,kuqr29nmir.jpg,kuqr29nmir.jpg
TBSラジオ,荻上チキ・Session-22,荻上チキ/南部広美,20200203220000,203,2200,20200203235500,2355,6900,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/f0my09dji1.jpg,f0my09dji1.jpg,f0my09dji1.jpg
TBSラジオ,BLITZ POWER PUSH,近藤夏子・篠原梨菜（TBSアナウンサー）,20200203235500,203,2355,20200204000000,0,300,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/f2e8qww0zw.jpg,f2e8qww0zw.jpg,f2e8qww0zw.jpg
TBSラジオ,東京ポッド許可局,マキタスポーツ/プチ鹿島/サンキュータツオ,20200204000000,204,0,20200204010000,100,3600,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/sdqstqwhik.jpg,sdqstqwhik.jpg,sdqstqwhik.jpg
TBSラジオ,JUNK 伊集院光・深夜の馬鹿力,伊集院光,20200204010000,204,100,20200204030000,300,7200,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/jmf212jmrn.jpg,jmf212jmrn.jpg,jmf212jmrn.jpg
TBSラジオ,小森谷徹のFine！！,小森谷徹,20200204030000,204,300,20200204050000,500,7200,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/pjnhlhjkq5.jpg,pjnhlhjkq5.jpg,pjnhlhjkq5.jpg
TBSラジオ,生島ヒロシのおはよう定食・一直線,生島ヒロシ,20200204050000,204,500,20200204063000,630,5400,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/xt8ym4cpmw.jpg,xt8ym4cpmw.jpg,xt8ym4cpmw.jpg
TBSラジオ,森本毅郎・スタンバイ！,森本毅郎/遠藤泰子,20200204063000,204,630,20200204083000,830,7200,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/tcaigigbeu.jpg,tcaigigbeu.jpg,tcaigigbeu.jpg
TBSラジオ,伊集院光とらじおと（１）,伊集院光/竹内香苗　　ゲスト：高畑充希,20200204083000,204,830,20200204100000,1000,5400,https://radiko.jp/res/program/DEFAULT_IMAGE/TBS/1xedqh8o2n.jpg,1xedqh8o2n.jpg,1xedqh8o2n.jpg
