station,title,pfm,ft,日付,開始時間,to,終了時間,dur,image,filename抽出,filename
TOKYO FM,OTOBAKO～いつも心に音楽を～,小堺翔太,20200203050000,203,500,20200203053000,530,1800,https://radiko.jp/res/program/DEFAULT_IMAGE/FMT/i68s79sovb.jpg,i68s79sovb.jpg,i68s79sovb.jpg
TOKYO FM,FUTURES,落合陽一,20200203053000,203,530,20200203060000,600,1800,https://radiko.jp/res/program/DEFAULT_IMAGE/FMT/ggsrp3syxn.jpg,ggsrp3syxn.jpg,ggsrp3syxn.jpg
TOKYO FM,ONE MORNING,鈴村健一 / ハードキャッスル エリザベス,20200203060000,203,600,20200203081000,810,7800,https://radiko.jp/res/program/DEFAULT_IMAGE/FMT/lq467z9zej.jpg,lq467z9zej.jpg,lq467z9zej.jpg
TOKYO FM,Honda Smile Mission,SHEILA / 塚地武雅（ドランクドラゴン） / ルーシー,20200203081000,203,810,20200203081900,819,540,https://radiko.jp/res/program/DEFAULT_IMAGE/FMT/o5jrt3y0tj.png,o5jrt3y0tj.png,o5jrt3y0tj.png
TOKYO FM,ONE MORNING,鈴村健一 / ハードキャッスル エリザベス,20200203081900,203,819,20200203090000,900,2460,https://radiko.jp/res/program/DEFAULT_IMAGE/FMT/xe84zq605j.jpg,xe84zq605j.jpg,xe84zq605j.jpg
TOKYO FM,Blue Ocean,住吉美紀,20200203090000,203,900,20200203110000,1100,7200,https://radiko.jp/res/program/DEFAULT_IMAGE/FMT/t724lhsmeu.png,t724lhsmeu.png,t724lhsmeu.png
TOKYO FM,ディア・フレンズ,坂本美雨,20200203110000,203,1100,20200203113000,1130,1800,https://radiko.jp/res/program/DEFAULT_IMAGE/FMT/76velsc621.jpg,76velsc621.jpg,76velsc621.jpg
TOKYO FM,LOVE CONNECTION,LOVE,20200203113000,203,1130,20200203130000,1300,5400,https://radiko.jp/res/program/DEFAULT_IMAGE/FMT/wkz4dkqwym.jpg,wkz4dkqwym.jpg,wkz4dkqwym.jpg
TOKYO FM,高橋みなみの「これから、何する？」,高橋みなみ,20200203130000,203,1300,20200203145500,1455,6900,https://radiko.jp/res/program/DEFAULT_IMAGE/FMT/r0ymh8wcs4.jpg,r0ymh8wcs4.jpg,r0ymh8wcs4.jpg
TOKYO FM,MY OLYMPIC α,高橋尚子,20200203145500,203,1455,20200203150000,1500,300,https://radiko.jp/res/program/DEFAULT_IMAGE/FMT/rg0w8gswag.jpg,rg0w8gswag.jpg,rg0w8gswag.jpg
